Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2025-09-04 00:00:00+03:00,924.0,925.0,908.0,916.0,916.0,8766,0.0,0.0
2025-09-05 00:00:00+03:00,924.0,924.5,879.5,884.0,884.0,8195,0.0,0.0
2025-09-08 00:00:00+03:00,870.0,889.0,858.0,882.5,882.5,9640,0.0,0.0
2025-09-09 00:00:00+03:00,888.5,888.5,855.5,858.5,858.5,5321,0.0,0.0
2025-09-10 00:00:00+03:00,858.5,944.0,856.0,928.5,928.5,44937,0.0,0.0
2025-09-11 00:00:00+03:00,946.0,946.0,836.0,837.5,837.5,45264,0.0,0.0
2025-09-12 00:00:00+03:00,837.5,854.5,809.5,845.5,845.5,43039,0.0,0.0
2025-09-15 00:00:00+03:00,844.0,885.0,839.5,873.0,873.0,11837,0.0,0.0
2025-09-16 00:00:00+03:00,872.0,883.0,856.0,873.0,873.0,13213,0.0,0.0
2025-09-17 00:00:00+03:00,873.0,949.5,866.0,906.0,906.0,157836,0.0,0.0
2025-09-18 00:00:00+03:00,935.0,989.0,907.5,950.0,950.0,128536,0.0,0.0
2025-09-19 00:00:00+03:00,950.0,1045.0,950.0,1045.0,1045.0,71734,0.0,0.0
2025-09-22 00:00:00+03:00,1125.0,1149.0,1090.0,1149.0,1149.0,49499,0.0,0.0
2025-09-23 00:00:00+03:00,1161.0,1263.0,1149.0,1263.0,1263.0,130160,0.0,0.0
2025-09-24 00:00:00+03:00,1320.0,1344.0,1137.0,1137.0,1137.0,129656,0.0,0.0
2025-09-25 00:00:00+03:00,1050.0,1140.0,1030.0,1121.0,1121.0,80999,0.0,0.0
2025-09-26 00:00:00+03:00,1121.0,1185.0,1012.0,1030.0,1030.0,106784,0.0,0.0
2025-09-29 00:00:00+03:00,1005.0,1081.0,970.0,1002.0,1002.0,76069,0.0,0.0
2025-09-30 00:00:00+03:00,995.0,1050.0,973.0,1040.0,1040.0,42935,0.0,0.0
2025-10-01 00:00:00+03:00,1041.0,1060.0,1013.0,1034.0,1034.0,19733,0.0,0.0
2025-10-02 00:00:00+03:00,1034.0,1035.0,935.5,974.5,974.5,47161,0.0,0.0
2025-10-03 00:00:00+03:00,974.5,974.5,926.0,943.0,943.0,19933,0.0,0.0
2025-10-06 00:00:00+03:00,943.5,983.5,916.0,919.0,919.0,30322,0.0,0.0
2025-10-07 00:00:00+03:00,930.0,968.5,909.0,940.5,940.5,25829,0.0,0.0
2025-10-08 00:00:00+03:00,940.5,958.0,905.5,908.5,908.5,13058,0.0,0.0
2025-10-09 00:00:00+03:00,911.0,938.0,870.0,903.5,903.5,23325,0.0,0.0
2025-10-10 00:00:00+03:00,875.0,928.5,866.5,869.5,869.5,28417,0.0,0.0
2025-10-13 00:00:00+03:00,871.0,905.0,838.0,838.0,838.0,33123,0.0,0.0
2025-10-14 00:00:00+03:00,849.0,921.5,849.0,921.5,921.5,56022,0.0,0.0
2025-10-15 00:00:00+03:00,972.0,995.0,885.5,893.0,893.0,125168,0.0,0.0
2025-10-16 00:00:00+03:00,876.0,897.0,863.5,893.5,893.5,34539,0.0,0.0
2025-10-17 00:00:00+03:00,893.5,982.5,856.5,982.5,982.5,269857,0.0,0.0
2025-10-20 00:00:00+03:00,1074.0,1080.0,1015.0,1080.0,1080.0,1132492,0.0,0.0
2025-10-21 00:00:00+03:00,1140.0,1188.0,1112.0,1188.0,1188.0,95056,0.0,0.0
2025-10-22 00:00:00+03:00,1219.0,1248.0,1111.0,1213.0,1213.0,65725,0.0,0.0
2025-10-23 00:00:00+03:00,1213.0,1325.0,1154.0,1324.0,1324.0,25333,0.0,0.0
2025-10-24 00:00:00+03:00,1280.0,1456.0,1271.0,1456.0,1456.0,41984,0.0,0.0
2025-10-27 00:00:00+03:00,1460.0,1601.0,1460.0,1601.0,1601.0,39406,0.0,0.0
2025-10-28 00:00:00+03:00,1620.0,1750.0,1601.0,1700.0,1700.0,19347,0.0,0.0
2025-10-30 00:00:00+03:00,1700.0,1870.0,1632.0,1870.0,1870.0,49335,0.0,0.0
2025-10-31 00:00:00+03:00,1870.0,2051.0,1797.0,1973.0,1973.0,45505,0.0,0.0
2025-11-03 00:00:00+03:00,2050.0,2170.0,1973.0,2170.0,2170.0,49269,0.0,0.0
2025-11-04 00:00:00+03:00,2170.0,2300.0,2067.0,2067.0,2067.0,49264,0.0,0.0
2025-11-05 00:00:00+03:00,1998.0,2030.0,1861.0,1861.0,1861.0,41125,0.0,0.0
2025-11-06 00:00:00+03:00,1790.0,1945.0,1707.0,1862.0,1862.0,26521,0.0,0.0
2025-11-07 00:00:00+03:00,1825.0,1915.0,1801.0,1825.0,1825.0,23038,0.0,0.0
2025-11-10 00:00:00+03:00,1826.0,1940.0,1810.0,1890.0,1890.0,28570,0.0,0.0
2025-11-11 00:00:00+03:00,1891.0,1899.0,1800.0,1856.0,1856.0,18854,0.0,0.0
2025-11-12 00:00:00+03:00,1856.0,1859.0,1765.0,1765.0,1765.0,17614,0.0,0.0
