Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2025-09-04 00:00:00+03:00,474.5,503.5,455.0,503.5,503.5,309522,0.0,0.0
2025-09-05 00:00:00+03:00,517.5,530.0,481.0,492.5,492.5,349223,0.0,0.0
2025-09-08 00:00:00+03:00,482.5,541.5,479.75,541.5,541.5,345297,0.0,0.0
2025-09-09 00:00:00+03:00,541.5,595.5,541.5,595.5,595.5,368444,0.0,0.0
2025-09-10 00:00:00+03:00,598.0,621.0,536.0,541.5,541.5,508491,0.0,0.0
2025-09-11 00:00:00+03:00,548.5,581.5,530.5,546.0,546.0,346193,0.0,0.0
2025-09-12 00:00:00+03:00,549.5,550.0,500.0,505.0,505.0,251033,0.0,0.0
2025-09-15 00:00:00+03:00,507.0,520.0,493.0,506.5,506.5,199894,0.0,0.0
2025-09-16 00:00:00+03:00,511.0,528.0,507.5,510.0,510.0,111928,0.0,0.0
2025-09-17 00:00:00+03:00,511.5,520.0,500.0,501.5,501.5,99185,0.0,0.0
2025-09-18 00:00:00+03:00,508.0,509.0,485.25,493.5,493.5,138185,0.0,0.0
2025-09-19 00:00:00+03:00,503.5,531.5,483.0,502.0,502.0,195721,0.0,0.0
2025-09-22 00:00:00+03:00,503.0,521.0,503.0,511.0,511.0,103447,0.0,0.0
2025-09-23 00:00:00+03:00,511.0,511.0,491.75,491.75,491.75,93177,0.0,0.0
2025-09-24 00:00:00+03:00,491.75,496.0,475.0,484.0,484.0,91410,0.0,0.0
2025-09-25 00:00:00+03:00,484.0,486.0,468.0,470.0,470.0,78864,0.0,0.0
2025-09-26 00:00:00+03:00,475.75,485.0,469.5,470.5,470.5,60097,0.0,0.0
2025-09-29 00:00:00+03:00,470.0,472.5,455.0,458.0,458.0,71759,0.0,0.0
2025-09-30 00:00:00+03:00,461.75,478.0,445.25,449.0,449.0,60924,0.0,0.0
2025-10-01 00:00:00+03:00,454.75,455.0,436.0,446.25,446.25,52382,0.0,0.0
2025-10-02 00:00:00+03:00,446.5,463.0,444.75,446.5,446.5,52655,0.0,0.0
2025-10-03 00:00:00+03:00,445.0,451.75,434.5,435.5,435.5,39627,0.0,0.0
2025-10-06 00:00:00+03:00,438.0,443.0,424.0,426.0,426.0,45608,0.0,0.0
2025-10-07 00:00:00+03:00,426.0,440.5,424.75,437.0,437.0,42955,0.0,0.0
2025-10-08 00:00:00+03:00,449.75,456.0,424.0,424.5,424.5,60841,0.0,0.0
2025-10-09 00:00:00+03:00,425.0,432.5,421.75,425.25,425.25,42953,0.0,0.0
2025-10-10 00:00:00+03:00,425.0,430.5,420.0,422.5,422.5,43826,0.0,0.0
2025-10-13 00:00:00+03:00,421.0,421.0,401.25,410.0,410.0,38643,0.0,0.0
2025-10-14 00:00:00+03:00,403.0,426.0,402.0,405.5,405.5,53458,0.0,0.0
2025-10-15 00:00:00+03:00,406.5,415.75,401.0,409.75,409.75,40904,0.0,0.0
2025-10-16 00:00:00+03:00,419.5,425.5,408.75,409.0,409.0,56812,0.0,0.0
2025-10-17 00:00:00+03:00,409.0,420.25,401.25,408.25,408.25,59502,0.0,0.0
2025-10-20 00:00:00+03:00,404.25,425.5,404.25,409.5,409.5,54160,0.0,0.0
2025-10-21 00:00:00+03:00,415.0,417.5,408.75,412.25,412.25,42289,0.0,0.0
2025-10-22 00:00:00+03:00,407.5,418.0,407.5,408.0,408.0,33036,0.0,0.0
2025-10-23 00:00:00+03:00,409.5,412.25,403.5,405.25,405.25,32559,0.0,0.0
2025-10-24 00:00:00+03:00,405.5,424.25,405.5,419.0,419.0,52315,0.0,0.0
2025-10-27 00:00:00+03:00,418.0,430.0,418.0,420.0,420.0,37482,0.0,0.0
2025-10-28 00:00:00+03:00,419.75,423.75,417.75,418.25,418.25,9557,0.0,0.0
2025-10-30 00:00:00+03:00,418.25,433.25,418.25,427.75,427.75,30992,0.0,0.0
2025-10-31 00:00:00+03:00,427.75,446.0,423.75,437.5,437.5,67385,0.0,0.0
2025-11-03 00:00:00+03:00,439.0,462.0,439.0,450.25,450.25,71076,0.0,0.0
2025-11-04 00:00:00+03:00,450.25,456.0,438.75,444.5,444.5,50335,0.0,0.0
2025-11-05 00:00:00+03:00,444.5,455.5,434.5,443.25,443.25,40351,0.0,0.0
2025-11-06 00:00:00+03:00,443.5,455.25,440.0,440.0,440.0,41812,0.0,0.0
2025-11-07 00:00:00+03:00,442.0,445.25,431.5,434.25,434.25,26618,0.0,0.0
2025-11-10 00:00:00+03:00,435.0,457.0,430.5,430.5,430.5,57659,0.0,0.0
2025-11-11 00:00:00+03:00,430.0,434.0,409.0,418.0,418.0,39150,0.0,0.0
2025-11-12 00:00:00+03:00,418.25,427.0,404.0,404.0,404.0,49178,0.0,0.0
2025-11-13 00:00:00+03:00,404.5,412.5,404.5,410.75,410.75,21221,0.0,0.0
2025-11-14 00:00:00+03:00,406.0,422.0,404.5,407.5,407.5,34979,0.0,0.0
2025-11-17 00:00:00+03:00,407.5,418.5,407.5,414.75,414.75,26680,0.0,0.0
2025-11-18 00:00:00+03:00,418.75,418.75,406.5,406.5,406.5,21898,0.0,0.0
2025-11-19 00:00:00+03:00,407.5,415.5,407.0,409.0,409.0,22343,0.0,0.0
