Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2026-07-17 00:00:00+03:00,86.22000122070312,86.22000122070312,83.41999816894531,83.54000091552734,83.54000091552734,82,0.0,0.0,0.0
2026-07-20 00:00:00+03:00,83.54000091552734,85.12000274658203,83.54000091552734,84.55999755859375,84.55999755859375,26784,0.0,0.0,0.0
2026-07-21 00:00:00+03:00,85.0,85.0,84.12000274658203,84.12000274658203,84.12000274658203,253,0.0,0.0,0.0
2026-07-22 00:00:00+03:00,84.41999816894531,85.36000061035156,84.41999816894531,85.36000061035156,85.36000061035156,646,0.0,0.0,0.0
2026-07-23 00:00:00+03:00,85.27999877929688,85.83999633789062,84.73999786376953,84.73999786376953,84.73999786376953,915,0.0,0.0,0.0
2026-07-24 00:00:00+03:00,84.73999786376953,85.5,83.63999938964844,83.87999725341797,83.87999725341797,162,0.0,0.0,0.0
2026-07-27 00:00:00+03:00,84.81999969482422,84.87999725341797,82.81999969482422,82.81999969482422,82.81999969482422,673,0.0,0.0,0.0
2026-07-28 00:00:00+03:00,83.5,83.5,82.45999908447266,82.55999755859375,82.55999755859375,3389,0.0,0.0,0.0
2026-07-29 00:00:00+03:00,83.0,83.0,81.13999938964844,81.36000061035156,81.36000061035156,5364,0.0,0.0,0.0
2026-07-30 00:00:00+03:00,81.36000061035156,81.36000061035156,79.69999694824219,79.69999694824219,79.69999694824219,1578,0.0,0.0,0.0
2026-07-31 00:00:00+03:00,79.69999694824219,81.33999633789062,79.69999694824219,81.33999633789062,81.33999633789062,300,0.0,0.0,0.0
2026-08-03 00:00:00+03:00,83.4800033569336,83.4800033569336,81.0199966430664,81.22000122070312,81.22000122070312,2432,0.0,0.0,0.0
2026-08-04 00:00:00+03:00,81.94000244140625,82.9800033569336,81.5999984741211,82.9800033569336,82.9800033569336,2471,0.0,0.0,0.0
2026-08-05 00:00:00+03:00,83.13999938964844,83.5,82.4000015258789,83.23999786376953,83.23999786376953,6013,0.0,0.0,0.0
2026-08-06 00:00:00+03:00,83.87999725341797,83.87999725341797,83.23999786376953,83.63999938964844,83.63999938964844,90,0.0,0.0,0.0
2026-08-07 00:00:00+03:00,84.0,84.30000305175781,82.83999633789062,83.0,83.0,15673,0.0,0.0,0.0
2026-08-10 00:00:00+03:00,83.0199966430664,83.80000305175781,83.0199966430664,83.31999969482422,83.31999969482422,393,0.0,0.0,0.0
2026-08-11 00:00:00+03:00,83.4800033569336,83.4800033569336,81.5999984741211,82.37999725341797,82.37999725341797,3278,0.0,0.0,0.0
2026-08-12 00:00:00+03:00,82.72000122070312,84.9800033569336,82.72000122070312,84.9800033569336,84.9800033569336,16551,0.0,0.0,0.0
2026-08-13 00:00:00+03:00,86.22000122070312,86.30000305175781,84.81999969482422,85.12000274658203,85.12000274658203,3911,0.0,0.0,0.0
2026-08-14 00:00:00+03:00,85.77999877929688,86.18000030517578,85.04000091552734,85.27999877929688,85.27999877929688,165,0.0,0.0,0.0
2026-08-17 00:00:00+03:00,85.27999877929688,85.45999908447266,84.73999786376953,85.0999984741211,85.0999984741211,2528,0.0,0.0,0.0
2026-08-18 00:00:00+03:00,85.0999984741211,85.83999633789062,85.0999984741211,85.19999694824219,85.19999694824219,1836,0.0,0.0,0.0
2026-08-19 00:00:00+03:00,85.72000122070312,87.91999816894531,85.72000122070312,87.91999816894531,87.91999816894531,4309,0.0,0.0,0.0
2026-08-20 00:00:00+03:00,88.27999877929688,88.5,86.94000244140625,87.16000366210938,87.16000366210938,137,0.0,0.0,0.0
2026-08-21 00:00:00+03:00,87.16000366210938,89.04000091552734,87.16000366210938,88.41999816894531,88.41999816894531,1494,0.0,0.0,0.0
2026-08-24 00:00:00+03:00,89.19999694824219,89.63999938964844,88.77999877929688,88.77999877929688,88.77999877929688,23092,0.0,0.0,0.0
2026-08-25 00:00:00+03:00,88.77999877929688,90.87999725341797,87.91999816894531,88.0,88.0,4166,0.0,0.0,0.0
2026-08-26 00:00:00+03:00,90.19999694824219,90.19999694824219,88.73999786376953,88.73999786376953,88.73999786376953,4189,0.0,0.0,0.0
2026-08-27 00:00:00+03:00,88.83999633789062,89.27999877929688,88.62000274658203,89.0199966430664,89.0199966430664,71,0.0,0.0,0.0
2026-08-28 00:00:00+03:00,89.55999755859375,89.55999755859375,88.83999633789062,89.08000183105469,89.08000183105469,295,0.0,0.0,0.0
2026-08-31 00:00:00+03:00,93.0,93.0,87.19999694824219,87.5,87.5,4924,0.0,0.0,0.0
2026-09-01 00:00:00+03:00,87.55999755859375,88.30000305175781,87.05999755859375,87.08000183105469,87.08000183105469,14495,0.0,0.0,0.0
2026-09-02 00:00:00+03:00,91.0,91.0,85.5199966430664,86.33999633789062,86.33999633789062,651,0.0,0.0,0.0
2026-09-03 00:00:00+03:00,88.0,88.0,84.91999816894531,85.9800033569336,85.9800033569336,646,0.0,0.0,0.0
2026-09-04 00:00:00+03:00,86.5199966430664,87.0199966430664,86.0199966430664,86.33999633789062,86.33999633789062,5872,0.0,0.0,0.0
2026-09-07 00:00:00+03:00,87.30000305175781,88.23999786376953,87.22000122070312,88.23999786376953,88.23999786376953,7050,0.0,0.0,0.0
2026-09-08 00:00:00+03:00,88.27999877929688,88.27999877929688,87.9800033569336,87.9800033569336,87.9800033569336,393,0.0,0.0,0.0
