Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2026-07-17 00:00:00+03:00,4379.0,4390.0,4379.0,4386.0,4386.0,1982,0.0,0.0,0.0
2026-07-20 00:00:00+03:00,4383.0,4390.0,4383.0,4385.0,4385.0,2299,0.0,0.0,0.0
2026-07-21 00:00:00+03:00,4385.0,4393.0,4384.0,4386.0,4386.0,2841,0.0,0.0,0.0
2026-07-22 00:00:00+03:00,4387.0,4396.0,4386.0,4393.0,4393.0,2066,0.0,0.0,0.0
2026-07-23 00:00:00+03:00,4399.0,4403.0,4393.0,4395.0,4395.0,2612,0.0,0.0,0.0
2026-07-24 00:00:00+03:00,4396.0,4409.0,4396.0,4409.0,4409.0,3644,0.0,0.0,0.0
2026-07-27 00:00:00+03:00,4408.0,4410.0,4400.0,4408.0,4408.0,3797,0.0,0.0,0.0
2026-07-28 00:00:00+03:00,4408.0,4408.0,4401.0,4407.0,4407.0,3877,0.0,0.0,0.0
2026-07-29 00:00:00+03:00,4406.0,4410.0,4402.0,4407.0,4407.0,2272,0.0,0.0,0.0
2026-07-30 00:00:00+03:00,4410.0,4414.0,4407.0,4407.0,4407.0,3554,0.0,0.0,0.0
2026-07-31 00:00:00+03:00,4408.0,4427.0,4408.0,4419.0,4419.0,4690,0.0,0.0,0.0
2026-08-03 00:00:00+03:00,4417.0,4425.0,4414.0,4424.0,4424.0,3230,0.0,0.0,0.0
2026-08-04 00:00:00+03:00,4424.0,4424.0,4416.0,4418.0,4418.0,3439,0.0,0.0,0.0
2026-08-05 00:00:00+03:00,4420.0,4421.0,4415.0,4420.0,4420.0,1895,0.0,0.0,0.0
2026-08-06 00:00:00+03:00,4424.0,4426.0,4422.0,4422.0,4422.0,2930,0.0,0.0,0.0
2026-08-07 00:00:00+03:00,4427.0,4430.0,4424.0,4429.0,4429.0,4240,0.0,0.0,0.0
2026-08-10 00:00:00+03:00,4429.0,4431.0,4424.0,4431.0,4431.0,3939,0.0,0.0,0.0
2026-08-11 00:00:00+03:00,4432.0,4435.0,4427.0,4435.0,4435.0,3653,0.0,0.0,0.0
2026-08-12 00:00:00+03:00,4432.0,4437.0,4431.0,4435.0,4435.0,4998,0.0,0.0,0.0
2026-08-13 00:00:00+03:00,4435.0,4444.0,4435.0,4444.0,4444.0,2431,0.0,0.0,0.0
2026-08-14 00:00:00+03:00,4449.0,4450.0,4442.0,4450.0,4450.0,3085,0.0,0.0,0.0
2026-08-17 00:00:00+03:00,4454.0,4455.0,4445.0,4455.0,4455.0,1097,0.0,0.0,0.0
2026-08-18 00:00:00+03:00,4455.0,4457.0,4452.0,4457.0,4457.0,3501,0.0,0.0,0.0
2026-08-19 00:00:00+03:00,4453.0,4459.0,4450.0,4453.0,4453.0,6760,0.0,0.0,0.0
2026-08-20 00:00:00+03:00,4458.0,4464.0,4455.0,4464.0,4464.0,3194,0.0,0.0,0.0
2026-08-21 00:00:00+03:00,4456.0,4474.0,4456.0,4473.0,4473.0,4166,0.0,0.0,0.0
2026-08-24 00:00:00+03:00,4470.0,4480.0,4464.0,4474.0,4474.0,3928,0.0,0.0,0.0
2026-08-25 00:00:00+03:00,4474.0,4479.0,4469.0,4478.0,4478.0,4716,0.0,0.0,0.0
2026-08-26 00:00:00+03:00,4478.0,4485.0,4472.0,4485.0,4485.0,4803,0.0,0.0,0.0
2026-08-27 00:00:00+03:00,4485.0,4492.0,4485.0,4486.0,4486.0,2638,0.0,0.0,0.0
2026-08-28 00:00:00+03:00,4489.0,4497.0,4489.0,4489.0,4489.0,3305,0.0,0.0,0.0
2026-08-31 00:00:00+03:00,4488.0,4495.0,4485.0,4487.0,4487.0,4117,0.0,0.0,0.0
2026-09-01 00:00:00+03:00,4487.0,4492.0,4479.0,4481.0,4481.0,3771,0.0,0.0,0.0
2026-09-02 00:00:00+03:00,4490.0,4510.0,4484.0,4510.0,4510.0,4144,0.0,0.0,0.0
2026-09-03 00:00:00+03:00,4508.0,4516.0,4495.0,4515.0,4515.0,6584,0.0,0.0,0.0
2026-09-04 00:00:00+03:00,4508.0,4520.0,4502.0,4515.0,4515.0,3751,0.0,0.0,0.0
2026-09-07 00:00:00+03:00,4515.0,4515.0,4505.0,4514.0,4514.0,2401,0.0,0.0,0.0
2026-09-08 00:00:00+03:00,4514.0,4520.0,4508.0,4517.0,4517.0,2342,0.0,0.0,0.0
2026-09-09 00:00:00+03:00,4514.0,4520.0,4511.0,4515.0,4515.0,1811,0.0,0.0,0.0
2026-09-10 00:00:00+03:00,4520.0,4529.0,4515.0,4525.0,4525.0,1905,0.0,0.0,0.0
2026-09-11 00:00:00+03:00,4525.0,4543.0,4520.0,4543.0,4543.0,9279,0.0,0.0,0.0
